[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-06-04 11:01:08.004] [COMPLETE] ● https://www.cls.cn/detail/2390246                                                                    | ✓ | ⏱: 1.65s 
[2026-06-04 11:01:08.028] [FETCH]... ↓ https://www.cls.cn/detail/2390202                                                                    | ✓ | ⏱: 1.86s 
[2026-06-04 11:01:08.034] [SCRAPE].. ◆ https://www.cls.cn/detail/2390202                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:08.036] [COMPLETE] ● https://www.cls.cn/detail/2390202                                                                    | ✓ | ⏱: 1.87s 
[2026-06-04 11:01:10.581] [FETCH]... ↓ https://www.cls.cn/detail/2390175                                                                    | ✓ | ⏱: 1.61s 
[2026-06-04 11:01:10.588] [SCRAPE].. ◆ https://www.cls.cn/detail/2390175                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:10.590] [COMPLETE] ● https://www.cls.cn/detail/2390175                                                                    | ✓ | ⏱: 1.62s 
[2026-06-04 11:01:23.631] [INIT].... → Crawl4AI 0.8.6 
[2026-06-04 11:01:25.566] [FETCH]... ↓ https://wallstreetcn.com/articles/3773742                                                            | ✓ | ⏱: 1.92s 
[2026-06-04 11:01:25.573] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773742                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:25.575] [COMPLETE] ● https://wallstreetcn.com/articles/3773742                                                            | ✓ | ⏱: 1.93s 
[2026-06-04 11:01:26.280] [FETCH]... ↓ https://wallstreetcn.com/articles/3773781                                                            | ✓ | ⏱: 1.11s 
[2026-06-04 11:01:26.288] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773781                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:26.290] [COMPLETE] ● https://wallstreetcn.com/articles/3773781                                                            | ✓ | ⏱: 1.12s 
[2026-06-04 11:01:27.249] [FETCH]... ↓ https://wallstreetcn.com/articles/3773742                                                            | ✓ | ⏱: 1.66s 
[2026-06-04 11:01:27.289] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773742                                                            | ✓ | ⏱: 0.04s 
[2026-06-04 11:01:27.295] [COMPLETE] ● https://wallstreetcn.com/articles/3773742                                                            | ✓ | ⏱: 1.71s 
[2026-06-04 11:01:27.315] [FETCH]... ↓ https://wallstreetcn.com/articles/3773781                                                            | ✓ | ⏱: 1.01s 
[2026-06-04 11:01:27.343] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773781                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 11:01:27.350] [COMPLETE] ● https://wallstreetcn.com/articles/3773781                                                            | ✓ | ⏱: 1.05s 
[2026-06-04 11:01:33.234] [FETCH]... ↓ https://wallstreetcn.com/articles/3773815                                                            | ✓ | ⏱: 5.65s 
[2026-06-04 11:01:33.241] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773815                                                            | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:33.243] [COMPLETE] ● https://wallstreetcn.com/articles/3773815                                                            | ✓ | ⏱: 5.66s 
[2026-06-04 11:01:33.593] [FETCH]... ↓ https://wallstreetcn.com/articles/3773769                                                            | ✓ | ⏱: 5.23s 
[2026-06-04 11:01:33.601] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773769                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:33.603] [COMPLETE] ● https://wallstreetcn.com/articles/3773769                                                            | ✓ | ⏱: 5.24s 
[2026-06-04 11:01:34.294] [FETCH]... ↓ https://wallstreetcn.com/articles/3773815                                                            | ✓ | ⏱: 1.04s 
[2026-06-04 11:01:34.341] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773815                                                            | ✓ | ⏱: 0.04s 
[2026-06-04 11:01:34.348] [COMPLETE] ● https://wallstreetcn.com/articles/3773815                                                            | ✓ | ⏱: 1.09s 
[2026-06-04 11:01:34.591] [FETCH]... ↓ https://wallstreetcn.com/articles/3773769                                                            | ✓ | ⏱: 0.97s 
[2026-06-04 11:01:34.618] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773769                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 11:01:34.624] [COMPLETE] ● https://wallstreetcn.com/articles/3773769                                                            | ✓ | ⏱: 1.01s 
[2026-06-04 11:01:35.331] [FETCH]... ↓ https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.96s 
[2026-06-04 11:01:35.339] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:35.341] [COMPLETE] ● https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.97s 
[2026-06-04 11:01:36.289] [FETCH]... ↓ https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.94s 
[2026-06-04 11:01:36.320] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 11:01:36.327] [COMPLETE] ● https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.97s 
[2026-06-04 11:01:37.938] [FETCH]... ↓ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 1.05s 
[2026-06-04 11:01:37.945] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:37.946] [COMPLETE] ● https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 1.06s 
[2026-06-04 11:01:37.979] [FETCH]... ↓ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 1.03s 
[2026-06-04 11:01:37.986] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:37.989] [COMPLETE] ● https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 1.04s 
[2026-06-04 11:01:39.008] [FETCH]... ↓ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 1.05s 
[2026-06-04 11:01:39.037] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 11:01:39.044] [COMPLETE] ● https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 1.09s 
[2026-06-04 11:01:39.068] [FETCH]... ↓ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 1.07s 
[2026-06-04 11:01:39.095] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 11:01:39.102] [COMPLETE] ● https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 1.10s 
[2026-06-04 11:01:41.055] [FETCH]... ↓ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 1.99s 
[2026-06-04 11:01:41.063] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:41.065] [COMPLETE] ● https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 2.00s 
[2026-06-04 11:01:42.379] [FETCH]... ↓ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 1.30s 
[2026-06-04 11:01:42.404] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.02s 
[2026-06-04 11:01:42.410] [COMPLETE] ● https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 1.33s 
[2026-06-04 11:01:42.448] [FETCH]... ↓ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 1.12s 
[2026-06-04 11:01:42.455] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:42.457] [COMPLETE] ● https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 1.13s 
[2026-06-04 11:01:43.432] [FETCH]... ↓ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.96s 
[2026-06-04 11:01:43.458] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.02s 
[2026-06-04 11:01:43.466] [COMPLETE] ● https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 1.00s 
[2026-06-04 11:01:44.185] [FETCH]... ↓ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 1.06s 
[2026-06-04 11:01:44.192] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:44.194] [COMPLETE] ● https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 1.07s 
[2026-06-04 11:01:45.213] [FETCH]... ↓ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 1.01s 
[2026-06-04 11:01:45.241] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 11:01:45.249] [COMPLETE] ● https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 1.04s 
[2026-06-04 11:01:45.309] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.82s 
[2026-06-04 11:01:45.314] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:45.316] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.82s 
[2026-06-04 11:01:47.071] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:01:47.116] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:01:47.125] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.80s 
[2026-06-04 11:01:48.582] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:01:48.588] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:48.590] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:01:50.324] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.72s 
[2026-06-04 11:01:50.365] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:01:50.373] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:01:51.171] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 1.80s 
[2026-06-04 11:01:51.177] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:51.179] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 1.81s 
